asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included
pvg_door_window_doorgarage4_6_4c63d772,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_6.png,DoorGarage4_6.png,DOOR_WINDOW,door_window,112,222,105,221,50.62,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_7_ee9197a4,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_7.png,DoorGarage4_7.png,DOOR_WINDOW,door_window,111,234,105,233,46.07,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_8_e59d2143,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_8.png,DoorGarage4_8.png,DOOR_WINDOW,door_window,110,234,105,233,45.27,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_1_800530a8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_1.png,DoorGarage5_1.png,DOOR_WINDOW,door_window,91,170,80,165,24.74,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_2_32758758,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_2.png,DoorGarage5_2.png,DOOR_WINDOW,door_window,42,212,37,208,57.88,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_3_03371aac,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_3.png,DoorGarage5_3.png,DOOR_WINDOW,door_window,89,175,81,170,22.32,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_4_b92367a8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_4.png,DoorGarage5_4.png,DOOR_WINDOW,door_window,43,212,37,208,58.95,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_5_e9122e69,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_5.png,DoorGarage5_5.png,DOOR_WINDOW,door_window,84,204,82,200,43.79,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_6_7b13fd72,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_6.png,DoorGarage5_6.png,DOOR_WINDOW,door_window,84,202,81,200,43.99,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_7_31248ba5,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_7.png,DoorGarage5_7.png,DOOR_WINDOW,door_window,85,205,81,203,42.7,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage5_8_d85bc6ee,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage5_8.png,DoorGarage5_8.png,DOOR_WINDOW,door_window,86,205,82,203,43.24,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_1_014009a5,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_1.png,DoorGarage6_1.png,DOOR_WINDOW,door_window,25,232,15,230,42.6,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
